,,Grouped by label,Grouped by label,Grouped by label,Grouped by label,Grouped by label
,,Missing,Overall,0,1,P-Value
n,,,2217,1663,554,
"age, mean (SD)",,0,72.5 (13.2),71.3 (13.3),76.3 (12.3),<0.001
"gender, n (%)",F,0,913 (41.2),693 (41.7),220 (39.7),0.446
"gender, n (%)",M,,1304 (58.8),970 (58.3),334 (60.3),
"race, n (%)",Asian,0,55 (2.5),44 (2.6),11 (2.0),0.066
"race, n (%)",Black,,189 (8.5),153 (9.2),36 (6.5),
"race, n (%)",Hispanic,,58 (2.6),44 (2.6),14 (2.5),
"race, n (%)",Other,,436 (19.7),308 (18.5),128 (23.1),
"race, n (%)",White,,1479 (66.7),1114 (67.0),365 (65.9),
"death_hours_after_in_icu, mean (SD)",,1663,218.9 (189.9),nan (nan),218.9 (189.9),nan
"hematocrit, mean (SD)",,19,33.2 (6.4),33.4 (6.4),32.7 (6.2),0.042
"hemoglobin, mean (SD)",,21,10.8 (2.3),10.9 (2.3),10.4 (2.2),<0.001
"platelet, mean (SD)",,21,214.0 (97.5),215.0 (93.5),211.1 (108.5),0.452
"wbc, mean (SD)",,22,12.9 (10.1),12.3 (10.1),14.8 (10.0),<0.001
"rbc, mean (SD)",,11,3.7 (0.8),3.7 (0.8),3.5 (0.8),<0.001
"mch, mean (SD)",,11,30.0 (2.6),30.0 (2.5),29.9 (2.9),0.310
"mchc, mean (SD)",,10,32.8 (1.7),33.0 (1.6),32.2 (1.7),<0.001
"rdw, mean (SD)",,11,15.1 (2.1),14.9 (2.1),15.7 (2.2),<0.001
"neutrophils, mean (SD)",,771,78.9 (13.4),78.6 (13.0),79.5 (14.3),0.295
"lymphocytes, mean (SD)",,771,11.9 (10.5),12.5 (10.4),10.4 (10.6),0.001
"bicarbonate, mean (SD)",,2098,23.9 (5.7),23.8 (5.4),23.9 (6.2),0.967
"potassium, mean (SD)",,5,4.4 (0.8),4.3 (0.8),4.5 (0.9),0.001
"troponin_i, mean (SD)",,2217,nan (nan),nan (nan),nan (nan),nan
"troponin_t, mean (SD)",,159,1.1 (2.1),1.0 (2.0),1.3 (2.3),0.048
"ck, mean (SD)",,334,980.5 (7096.7),1039.3 (8102.6),799.2 (1788.2),0.298
"ntprobnp, mean (SD)",,1939,13760.6 (13892.7),12770.2 (13308.6),16127.9 (15019.9),0.081
"troponin_t_icu, mean (SD)",,2217,nan (nan),nan (nan),nan (nan),nan
"ck_icu, mean (SD)",,389,1045.9 (7312.6),1115.4 (8358.2),833.1 (1812.5),0.241
"ckmb, mean (SD)",,0,34.7 (66.5),33.0 (61.9),39.6 (78.6),0.071
"ntprobnp_icu, mean (SD)",,2002,15449.3 (16348.2),14255.8 (15686.3),18203.5 (17600.0),0.122
"ast_got, mean (SD)",,632,271.0 (1105.4),226.9 (1154.0),374.5 (975.0),0.009
"alt_gpt, mean (SD)",,633,148.7 (511.4),118.1 (472.8),220.4 (586.8),0.001
"lab_sbp, mean (SD)",,19,123.1 (25.2),125.1 (25.2),116.8 (24.1),<0.001
"lab_dbp, mean (SD)",,19,68.5 (19.1),69.4 (18.6),65.6 (20.2),<0.001
"lab_mbp, mean (SD)",,19,84.5 (130.1),86.6 (149.2),77.9 (19.5),0.020
"lab_heart_rate, mean (SD)",,0,88.3 (19.9),87.4 (19.6),91.0 (20.7),<0.001
"lab_temperature, mean (SD)",,4,36.8 (1.5),36.8 (1.6),36.8 (1.0),0.944
"lab_spo2, mean (SD)",,0,96.2 (4.7),96.3 (4.5),95.8 (5.3),0.046
"lab_glucose, mean (SD)",,11,174.4 (110.4),173.3 (106.0),177.9 (122.5),0.434
"calcium, mean (SD)",,20,8.4 (0.9),8.4 (0.8),8.2 (1.0),<0.001
"sodium, mean (SD)",,10,138.5 (5.4),138.2 (4.9),139.1 (6.7),0.008
"chloride, mean (SD)",,11,103.7 (6.7),103.5 (6.2),104.1 (8.0),0.092
"anion_gap, mean (SD)",,11,16.7 (4.8),16.2 (4.5),18.3 (5.4),<0.001
"creatinine, mean (SD)",,11,2.0 (2.1),1.9 (2.1),2.2 (1.8),<0.001
"eGFR, mean (SD)",,2217,nan (nan),nan (nan),nan (nan),nan
"sbp, mean (SD)",,1788,123.4 (23.1),125.7 (23.3),116.7 (21.1),<0.001
"dbp, mean (SD)",,1791,67.0 (16.8),68.0 (16.7),64.0 (16.8),0.033
"mbp, mean (SD)",,1798,81.8 (19.0),83.1 (19.7),77.9 (16.6),0.008
"heart_rate, mean (SD)",,1242,88.0 (19.1),87.3 (19.0),90.4 (19.2),0.043
"temperature, mean (SD)",,1691,36.8 (0.7),36.8 (0.6),36.6 (1.0),0.131
"spo2, mean (SD)",,1596,96.1 (3.7),96.1 (3.7),95.9 (3.9),0.583
"glucose, mean (SD)",,1873,193.7 (115.5),200.2 (124.2),176.5 (86.6),0.048
